display_first_last,birthdate,school,country,height,weight,season_exp,jersey,position,rosterstatus,team_name,draft_year,draft_round,draft_number,greatest_75_flag
Jerome Henderson,1959-10-05 00:00:00,New Mexico,USA,6-11,230.0,2.0,40,Forward,Inactive,Bucks,Undrafted,Undrafted,Undrafted,N
Kevin Henderson,1964-03-22 00:00:00,California State-Fullerton,USA,6-4,195.0,2.0,12,Guard,Inactive,Warriors,1986,3,50,N
Tom Henderson,1952-01-26 00:00:00,Hawaii,USA,6-3,190.0,9.0,6,Guard,Inactive,Rockets,1974,1,7,N
Don Henriksen,1929-10-10 00:00:00,California,USA,6-7,225.0,2.0,12,Forward,Inactive,Royals,Undrafted,Undrafted,Undrafted,N
Bill Henry,1924-12-27 00:00:00,Rice,USA,6-9,215.0,2.0,16,Center,Inactive,Pistons,Undrafted,Undrafted,Undrafted,N
Skeeter Henry,1967-12-08 00:00:00,Oklahoma,USA,6-7,190.0,1.0,4,Guard,Inactive,Suns,Undrafted,Undrafted,Undrafted,N
Tyler Herro,2000-01-20 00:00:00,Kentucky,USA,6-5,195.0,3.0,14,Guard,Active,Heat,2019,1,13,N
Keith Herron,1956-06-14 00:00:00,Villanova,USA,6-6,195.0,3.0,15,Guard,Inactive,Pistons,1978,2,24,N
Kevin Hervey,1996-07-09 00:00:00,Texas-Arlington,USA,6-9,230.0,2.0,15,Forward,Inactive,Thunder,2018,2,57,N
Mario Hezonja,1995-02-25 00:00:00,                                   ,Croatia,6-8,220.0,6.0,44,Forward-Guard,Inactive,Magic,2015,1,5,N
Roy Hibbert,1986-12-11 00:00:00,Georgetown,USA,7-2,270.0,10.0,34,Center,Inactive,Pacers,2008,1,17,N
Isaiah Hicks,1994-07-24 00:00:00,North Carolina,USA,6-9,230.0,3.0,4,Forward,Inactive,Knicks,Undrafted,Undrafted,Undrafted,N
JJ Hickson,1988-09-04 00:00:00,North Carolina State,USA,6-9,242.0,9.0,21,Center-Forward,Inactive,Cavaliers,2008,1,19,N
Buddy Hield,1992-12-17 00:00:00,Oklahoma,Bahamas,6-4,220.0,6.0,24,Guard,Active,Pacers,2016,1,6,N
Kenny Higgs,1955-01-31 00:00:00,Louisiana State,USA,6-0,180.0,3.0,1,Guard,Inactive,Nuggets,Undrafted,Undrafted,Undrafted,N
Johnny High,1957-04-25 00:00:00,Nevada-Reno,USA,6-3,185.0,4.0,11,Guard,Inactive,Suns,1979,2,24,N
Armond Hill,1953-03-31 00:00:00,Princeton,USA,6-4,190.0,8.0,24,Guard,Inactive,Hawks,1976,1,9,N
Cleo Hill,1938-05-24 00:00:00,Winston-Salem State,USA,6-1,185.0,1.0,24,Guard,Inactive,Hawks,1961,1,8,N
Herbert Hill,1984-10-01 00:00:00,Providence,USA,6-10,240.0,1.0,35,Forward-Center,Inactive,76ers,2007,2,55,N
Roy Hinson,1961-05-02 00:00:00,Rutgers,USA,6-9,210.0,8.0,6,Center,Inactive,Cavaliers,1983,1,20,N
Adolph Hoefer,1917-07-12 00:00:00,Queens,USA,5-9,158.0,2.0,3,Guard,Inactive,Celtics,Undrafted,Undrafted,Undrafted,N
Fred Hoiberg,1972-10-15 00:00:00,Iowa State,USA,6-5,210.0,11.0,32,Guard,Inactive,Bulls,1995,2,52,N
Brad Holland,1956-12-06 00:00:00,UCLA,USA,6-3,180.0,3.0,14,Guard,Inactive,Lakers,1979,1,14,N
Essie Hollis,1955-05-16 00:00:00,St. Bonaventure,USA,6-6,195.0,1.0,22-24,Forward,Inactive,Pistons,1977,2,44,N
Chet Holmgren,2002-05-01 00:00:00,Gonzaga,USA,7-1,195.0,0.0,7,Center-Forward,Active,Thunder,2022,1,2,N
Dick Holub,1921-10-29 00:00:00,Long Island-Brooklyn,USA,6-6,205.0,1.0,11,Center,Inactive,Knicks,1947,1,5,N
Joe Holup,1934-02-26 00:00:00,George Washington,USA,6-6,215.0,3.0,9,Forward,Inactive,Pistons,1956,1,5,N
Red Holzman,1920-08-10 00:00:00,City College of New York,USA,5-10,175.0,6.0,10,Guard,Inactive,Royals,Undrafted,Undrafted,Undrafted,N
Jerald Honeycutt,1974-10-20 00:00:00,Tulane,USA,6-9,254.0,3.0,25,Forward-Guard,Inactive,Bucks,1997,2,38,N
Derek Hood,1976-12-22 00:00:00,Arkansas,USA,6-8,222.0,2.0,55,Forward,Inactive,Hornets,Undrafted,Undrafted,Undrafted,N
Tom Hoover,1941-01-23 00:00:00,Villanova,USA,6-9,230.0,3.0,12,Center,Inactive,Knicks,1963,1,6,N
Dave Hoppen,1964-03-13 00:00:00,Nebraska,USA,6-11,235.0,6.0,42,Center,Inactive,Hornets,1986,3,65,N
Al Horford,1986-06-03 00:00:00,Florida,Dominican Republic,6-9,240.0,15.0,42,Center-Forward,Active,Celtics,2007,1,3,N
Tito Horford,1966-01-19 00:00:00,Miami,USA,7-1,245.0,3.0,42,Center,Inactive,Bucks,1988,2,39,N
Jeff Hornacek,1963-05-03 00:00:00,Iowa State,USA,6-4,190.0,14.0,14,Guard,Inactive,Jazz,1986,2,46,N
Robert Horry,1970-08-25 00:00:00,Alabama,USA,6-10,240.0,17.0,25,Forward-Center,Inactive,Lakers,1992,1,11,N
Ed Horton,1967-12-17 00:00:00,Iowa,USA,6-8,230.0,1.0,32,Center,Inactive,Bullets,1989,2,39,N
Talen Horton-Tucker,2000-11-25 00:00:00,Iowa State,USA,6-4,234.0,3.0,0,Guard,Active,Jazz,2019,2,46,N
Wilmer Hosket,1946-12-20 00:00:00,Ohio State,USA,6-7,225.0,4.0,25,Forward,Inactive,Knicks,1968,1,10,N
Bob Houbregs,1932-03-12 00:00:00,Washington,USA,6-8,210.0,5.0,17,Center,Inactive,Pistons,1953,1,2,N
Eddie House,1978-05-14 00:00:00,Arizona State,USA,6-1,190.0,12.0,55,Guard,Inactive,Heat,2000,2,37,N
Danuel House Jr.,1993-06-07 00:00:00,Texas A&M,USA,6-6,220.0,6.0,25,Forward-Guard,Active,76ers,Undrafted,Undrafted,Undrafted,N
Caleb Houstan,2003-01-09 00:00:00,Michigan,Canada,6-8,205.0,0.0,2,Guard,Active,Magic,2022,2,32,N
Byron Houston,1969-11-22 00:00:00,Oklahoma State,USA,6-5,250.0,4.0,35,Forward,Inactive,Warriors,1992,1,27,N
Juwan Howard,1973-02-07 00:00:00,Michigan,USA,6-9,250.0,20.0,5,Forward,Inactive,Wizards,1994,1,5,N
Markus Howard,1999-03-03 00:00:00,Marquette,USA,5-10,175.0,3.0,00,Guard,Inactive,Nuggets,Undrafted,Undrafted,Undrafted,N
Bailey Howell,1937-01-20 00:00:00,Mississippi State,USA,6-7,210.0,12.0,16,Forward,Inactive,Pistons,1959,1,2,N
Trevor Hudgins,1999-03-23 00:00:00,Northwest Missouri State,USA,6-0,180.0,0.0,12,Guard,Active,Rockets,Undrafted,Undrafted,Undrafted,N
Lester Hudson,1984-08-07 00:00:00,Tennessee-Martin,USA,6-3,190.0,5.0,14,Guard,Inactive,Celtics,2009,2,58,N
Lou Hudson,1944-07-11 00:00:00,Minnesota,USA,6-5,210.0,13.0,23,Forward,Inactive,Hawks,1966,1,4,N
Kevin Huerter,1998-08-27 00:00:00,Maryland,USA,6-7,198.0,4.0,9,Guard-Forward,Active,Kings,2018,1,19,N
Jay Huff,1997-08-25 00:00:00,Virginia,USA,7-1,240.0,1.0,30,Center,Active,Wizards,Undrafted,Undrafted,Undrafted,N
Nate Huffman,1975-04-02 00:00:00,Central Michigan,USA,7-1,245.0,1.0,7,Center,Inactive,Raptors,Undrafted,Undrafted,Undrafted,N
Alfredrick Hughes,1962-07-19 00:00:00,Loyola-Chicago,USA,6-5,215.0,1.0,6,Forward,Inactive,Spurs,1985,1,14,N
Elijah Hughes,1998-03-10 00:00:00,Syracuse,USA,6-5,215.0,3.0,19,Guard,Inactive,Trail Blazers,2020,2,39,N
Jay Humphries,1962-10-17 00:00:00,Colorado,USA,6-3,185.0,11.0,5,Guard,Inactive,Bucks,1984,1,13,N
Kris Humphries,1985-02-06 00:00:00,Minnesota,USA,6-9,235.0,14.0,43,Forward,Inactive,Nets,2004,1,14,N
Rod Hundley,1934-10-26 00:00:00,West Virginia,USA,6-4,185.0,6.0,33,Guard,Inactive,Lakers,1957,1,1,N
Brandon Hunter,1980-11-24 00:00:00,Ohio,USA,6-7,266.0,3.0,34,Forward,Inactive,Celtics,2003,2,56,N
Cedric Hunter,1965-01-16 00:00:00,Kansas,USA,6-0,180.0,1.0,15,Forward,Inactive,Hornets,Undrafted,Undrafted,Undrafted,N
Les Hunter,1942-08-16 00:00:00,Loyola-Chicago,USA,6-7,210.0,1.0,41,Forward,Inactive,Bullets,1964,2,9,N
Bobby Hurley,1971-06-28 00:00:00,Duke,USA,6-0,165.0,5.0,12,Guard,Inactive,Kings,1993,1,7,N
Bones Hyland,2000-09-14 00:00:00,Virginia Commonwealth,USA,6-2,169.0,1.0,3,Guard,Active,Clippers,2021,1,26,N
Marc Iavaroni,1956-09-15 00:00:00,Virginia,USA,6-10,210.0,7.0,43,Forward,Inactive,Jazz,1978,3,55,N
Andre Iguodala,1984-01-28 00:00:00,Arizona,USA,6-6,215.0,18.0,9,Guard-Forward,Active,Warriors,2004,1,9,N
Mile Ilic,1984-06-02 00:00:00,FMP,Serbia,7-1,255.0,2.0,9,Center,Inactive,Nets,2005,2,43,N
Darrall Imhoff,1938-10-11 00:00:00,California,USA,6-10,220.0,12.0,30-35,Center,Inactive,Lakers,1960,1,3,N
Byron Irvin,1966-12-02 00:00:00,Missouri,USA,6-5,190.0,3.0,32,Guard,Inactive,Trail Blazers,1989,1,22,N
Jarrett Jack,1983-10-28 00:00:00,Georgia Tech,USA,6-3,200.0,14.0,55,Guard,Inactive,Trail Blazers,2005,1,22,N
Cedric Jackson,1986-03-05 00:00:00,Cleveland State,USA,6-3,190.0,2.0,9,Guard,Inactive,Cavaliers,Undrafted,Undrafted,Undrafted,N
Isaiah Jackson,2002-01-10 00:00:00,Kentucky,USA,6-9,205.0,1.0,22,Forward,Active,Pacers,2021,1,22,N
Mark Jackson,1965-04-01 00:00:00,St. John's,USA,6-3,195.0,18.0,31,Guard,Inactive,Knicks,1987,1,18,N
Quenton Jackson,1998-09-15 00:00:00,Texas A&M,USA,6-5,173.0,0.0,29,Guard,Active,Wizards,Undrafted,Undrafted,Undrafted,N
Reggie Jackson,1990-04-16 00:00:00,Boston College,USA,6-2,208.0,11.0,1,Guard,Active,Nuggets,2011,1,24,N
Stanley Jackson,1970-10-10 00:00:00,Alabama-Birmingham,USA,6-3,185.0,1.0,7,Guard,Inactive,Timberwolves,Undrafted,Undrafted,Undrafted,N
Tony Jackson,1958-01-17 00:00:00,Florida State,USA,6-0,170.0,1.0,23,Guard,Inactive,Lakers,1980,4,87,N
Tracy Jackson,1959-04-21 00:00:00,Notre Dame,USA,6-6,205.0,3.0,7,Guard,Inactive,Bulls,1981,2,25,N
Wardell Jackson,1951-07-18 00:00:00,Ohio State,USA,6-7,200.0,1.0,30,Forward,Inactive,SuperSonics,1974,6,98,N
Jaren Jackson Jr.,1999-09-15 00:00:00,Michigan State,USA,6-10,242.0,4.0,13,Forward-Center,Active,Grizzlies,2018,1,4,N
Casey Jacobsen,1981-03-19 00:00:00,Stanford,USA,6-6,215.0,5.0,23,Guard,Inactive,Suns,2002,1,22,N
Bernard James,1985-02-07 00:00:00,Florida State,USA,6-10,235.0,3.0,55,Center,Inactive,Mavericks,2012,2,33,N
Jerome James,1975-11-17 00:00:00,Florida A&M,USA,7-1,285.0,10.0,31,Center,Inactive,SuperSonics,1998,2,36,N
Justin James,1997-01-24 00:00:00,Wyoming,USA,6-7,190.0,3.0,10,Guard-Forward,Inactive,Kings,2019,2,40,N
LeBron James,1984-12-30 00:00:00,St. Vincent-St. Mary HS (OH),USA,6-9,250.0,19.0,6,Forward,Active,Lakers,2003,1,1,Y
Mike James,1990-08-18 00:00:00,Lamar,USA,6-1,175.0,3.0,55,Guard,Inactive,Suns,Undrafted,Undrafted,Undrafted,N
Tim James,1976-12-25 00:00:00,Miami,USA,6-7,214.0,4.0,25,Forward,Inactive,Hornets,1999,1,25,N
Abdul Jeelani,1954-02-10 00:00:00,Wisconsin-Parkside,USA,6-8,210.0,2.0,11,Forward,Inactive,Trail Blazers,Undrafted,Undrafted,Undrafted,N
Al Jefferson,1985-01-04 00:00:00,Prentiss HS (MS),USA,6-10,280.0,14.0,25,Center,Inactive,Jazz,2004,1,15,N
Dontell Jefferson,1983-12-15 00:00:00,Arkansas,USA,6-5,195.0,2.0,2,Guard,Inactive,Bobcats,Undrafted,Undrafted,Undrafted,N
Richard Jefferson,1980-06-21 00:00:00,Arizona,USA,6-7,233.0,18.0,22,Forward,Inactive,Nets,2001,1,13,N
DaQuan Jeffries,1997-08-30 00:00:00,Tulsa,USA,6-5,222.0,3.0,8,Guard-Forward,Active,Knicks,Undrafted,Undrafted,Undrafted,N
Jared Jeffries,1981-11-25 00:00:00,Indiana,USA,6-11,240.0,12.0,1,Forward,Inactive,Knicks,2002,1,11,N
Charles Jenkins,1989-02-28 00:00:00,Hofstra,USA,6-3,215.0,3.0,31,Guard,Inactive,Warriors,2011,2,44,N
Horace Jenkins,1974-10-14 00:00:00,William Paterson,USA,6-1,180.0,2.0,5,Guard,Inactive,Pistons,Undrafted,Undrafted,Undrafted,N
John Jenkins,1991-03-06 00:00:00,Vanderbilt,USA,6-4,215.0,7.0,30,Guard,Inactive,Hawks,2012,1,23,N
Brandon Jennings,1989-09-23 00:00:00,Virtus Roma,USA,6-1,170.0,9.0,11,Guard,Inactive,Bucks,2009,1,10,N
Keith Jennings,1968-11-02 00:00:00,East Tennessee State,USA,5-7,160.0,3.0,2,Guard,Inactive,Warriors,Undrafted,Undrafted,Undrafted,N
Les Jepsen,1967-06-24 00:00:00,Iowa,USA,7-0,237.0,2.0,51,Guard,Inactive,Kings,1990,2,28,N
Jonas Jerebko,1987-03-02 00:00:00,                                   ,Sweden,6-10,231.0,10.0,21,Forward,Inactive,Pistons,2009,2,39,N
Ty Jerome,1997-07-08 00:00:00,Virginia,USA,6-5,195.0,3.0,10,Guard-Forward,Active,Warriors,2019,1,24,N
Curtis Jerrells,1987-02-05 00:00:00,Baylor,USA,6-1,195.0,1.0,5,Guard,Inactive,Spurs,Undrafted,Undrafted,Undrafted,N
Grant Jerrett,1993-07-08 00:00:00,Arizona,USA,6-10,232.0,2.0,17,Forward,Inactive,Thunder,2013,2,40,N
Pooh Jeter,1983-12-02 00:00:00,Portland,USA,5-11,175.0,2.0,5,Guard,Inactive,Kings,Undrafted,Undrafted,Undrafted,N
Isaiah Joe,1999-07-02 00:00:00,Arkansas,USA,6-3,165.0,2.0,11,Guard,Active,Thunder,2020,2,49,N
Alexander Johnson,1983-02-08 00:00:00,Florida State,USA,6-9,240.0,4.0,30,Forward,Inactive,Grizzlies,2006,2,45,N
Amir Johnson,1987-05-01 00:00:00,No College,USA,6-9,240.0,15.0,5,Center-Forward,Inactive,Raptors,2005,2,56,N
Andy Johnson,1931-04-21 00:00:00,Portland,USA,6-5,215.0,4.0,12,Forward,Inactive,Warriors,Undrafted,Undrafted,Undrafted,N
Anthony Johnson,1974-10-02 00:00:00,College of Charleston,USA,6-3,195.0,14.0,8,Guard,Inactive,Pacers,1997,2,39,N
Armon Johnson,1989-02-23 00:00:00,Nevada-Reno,USA,6-3,195.0,3.0,7,Guard,Inactive,Trail Blazers,2010,2,34,N
Arnie Johnson,1920-05-17 00:00:00,Bemidji State,USA,6-5,236.0,5.0,12,Forward,Inactive,Royals,Undrafted,Undrafted,Undrafted,N
Avery Johnson,1965-03-25 00:00:00,Southern,USA,5-11,185.0,17.0,6,Guard,Inactive,Spurs,Undrafted,Undrafted,Undrafted,N
Buck Johnson,1964-01-03 00:00:00,Alabama,USA,6-7,190.0,7.0,2,Forward,Inactive,Rockets,1986,1,20,N
Cameron Johnson,1996-03-03 00:00:00,North Carolina,USA,6-8,210.0,3.0,2,Forward,Active,Nets,2019,1,11,N
Charlie Johnson,1949-03-31 00:00:00,California,USA,6-0,170.0,7.0,15,Guard,Inactive,Warriors,1971,6,93,N
Chris Johnson,1985-07-17 00:00:00,Louisiana State,USA,6-11,210.0,4.0,20,Forward,Inactive,Timberwolves,Undrafted,Undrafted,Undrafted,N
Chris Johnson,1990-04-29 00:00:00,Dayton,USA,6-6,206.0,5.0,23,Forward,Inactive,Jazz,Undrafted,Undrafted,Undrafted,N
Clay Johnson,1956-07-18 00:00:00,Missouri,USA,6-4,175.0,3.0,34,Guard,Inactive,Lakers,1978,5,110,N
Clemon Johnson,1956-09-12 00:00:00,Florida A&M,USA,6-10,240.0,10.0,45,Center,Inactive,Pacers,1978,2,44,N
Dakari Johnson,1995-09-22 00:00:00,Kentucky,USA,7-0,255.0,1.0,44,Center,Inactive,Thunder,2015,2,48,N
Darryl Johnson,1965-10-26 00:00:00,Michigan State,USA,6-1,170.0,1.0,30,Guard,Inactive,Cavaliers,1987,3,58,N
Dave Johnson,1970-11-16 00:00:00,Syracuse,USA,6-7,210.0,2.0,8,Guard,Inactive,Trail Blazers,1992,1,26,N
David Johnson,1921-12-06 00:00:00,Huntington,USA,5-11,170.0,4.0,5,Guard,Inactive,Pistons,Undrafted,Undrafted,Undrafted,N
David Johnson,2001-02-26 00:00:00,Louisville,USA,6-4,203.0,2.0,13,Guard,Inactive,Raptors,2021,2,47,N
Dennis Johnson,1954-09-18 00:00:00,Pepperdine,USA,6-4,185.0,14.0,3,Guard,Inactive,Celtics,1976,2,29,N
DerMarr Johnson,1980-05-05 00:00:00,Cincinnati,USA,6-9,210.0,8.0,1,Forward-Guard,Inactive,Nuggets,2000,1,6,N
Eddie Johnson,1955-02-24 00:00:00,Auburn,USA,6-2,180.0,10.0,15,Guard,Inactive,Hawks,1977,3,49,N
Eric Johnson,1966-02-07 00:00:00,Nebraska,USA,6-2,205.0,1.0,15,Guard,Inactive,Jazz,Undrafted,Undrafted,Undrafted,N
Ervin Johnson,1967-12-21 00:00:00,New Orleans,USA,6-11,245.0,13.0,40,Center,Inactive,Bucks,1993,1,23,N
Frank Johnson,1958-11-23 00:00:00,Wake Forest,USA,6-3,185.0,10.0,3,Guard,Inactive,Bullets,1981,1,11,N
George Johnson,1947-06-19 00:00:00,Stephen F. Austin,USA,6-11,245.0,3.0,6,Center,Inactive,Rockets,1970,1,9,N
James Johnson,1987-02-20 00:00:00,Wake Forest,USA,6-7,240.0,13.0,16,Forward,Active,Pacers,2009,1,16,N
Keldon Johnson,1999-10-11 00:00:00,Kentucky,USA,6-5,220.0,3.0,3,Forward-Guard,Active,Spurs,2019,1,29,N
Ken Johnson,1962-11-07 00:00:00,Michigan State,USA,6-8,240.0,1.0,00,Forward,Inactive,Trail Blazers,1985,2,28,N
Larry Johnson,1969-03-14 00:00:00,UNLV,USA,6-7,235.0,10.0,2,Forward,Inactive,Hornets,1991,1,1,N
Larry Johnson,1954-11-28 00:00:00,Kentucky,USA,6-3,205.0,1.0,10,Guard,Inactive,Braves,1977,2,24,N
Linton Johnson,1980-06-13 00:00:00,Tulane,USA,6-8,205.0,7.0,54,Forward,Inactive,Hornets,Undrafted,Undrafted,Undrafted,N
Magic Johnson,1959-08-14 00:00:00,Michigan State,USA,6-9,220.0,13.0,32,Forward-Guard,Inactive,Lakers,1979,1,1,Y
Marques Johnson,1956-02-08 00:00:00,UCLA,USA,6-7,218.0,11.0,8,Forward,Inactive,Bucks,1977,1,3,N
Nick Johnson,1992-12-22 00:00:00,Arizona,USA,6-3,202.0,2.0,3,Guard,Inactive,Rockets,2014,2,42,N
Ron Johnson,1938-07-20 00:00:00,Minnesota,USA,6-8,215.0,1.0,52,Forward,Inactive,Lakers,1960,2,12,N
Steffond Johnson,1962-11-04 00:00:00,San Diego State,USA,6-8,240.0,1.0,31,Forward,Inactive,Clippers,1986,5,100,N
Steve Johnson,1957-11-03 00:00:00,Oregon State,USA,6-10,235.0,10.0,33,Center,Inactive,Kings,1981,1,7,N
Vinnie Johnson,1956-09-01 00:00:00,Baylor,USA,6-2,200.0,13.0,15,Guard,Inactive,Pistons,1979,1,7,N
Wesley Johnson,1987-07-11 00:00:00,Syracuse,USA,6-7,215.0,10.0,4,Forward-Guard,Inactive,Clippers,2010,1,4,N
Neil Johnston,1929-02-04 00:00:00,Ohio State,USA,6-8,210.0,8.0,6,Center,Inactive,Warriors,Undrafted,Undrafted,Undrafted,N
Jim Johnstone,1960-09-20 00:00:00,Wake Forest,USA,6-11,245.0,1.0,34,Center,Inactive,Pistons,1982,3,51,N
Howie Jolliff,1938-07-20 00:00:00,Ohio,USA,6-7,218.0,3.0,54,Forward,Inactive,Lakers,1960,7,50,N
Alvin Jones,1978-09-09 00:00:00,Georgia Tech,USA,6-11,265.0,2.0,42,Center,Inactive,76ers,2001,2,56,N
Askia Jones,1971-12-03 00:00:00,Kansas State,USA,6-5,200.0,1.0,2,Forward,Inactive,Timberwolves,Undrafted,Undrafted,Undrafted,N
Bill Jones,1966-03-18 00:00:00,Iowa,USA,6-7,175.0,1.0,20,Forward,Inactive,Nets,1968,7,90,N
Caldwell Jones,1950-08-04 00:00:00,Albany State (GA),USA,6-11,217.0,14.0,27,Center,Inactive,76ers,1973,2,32,N
Carlik Jones,1997-12-23 00:00:00,Louisville,USA,6-0,174.0,1.0,22,Guard,Active,Bulls,Undrafted,Undrafted,Undrafted,N
Charles Jones,1957-04-03 00:00:00,Albany State (GA),USA,6-9,215.0,15.0,27,Forward-Center,Inactive,Bullets,1979,8,165,N
Charles R. Jones,1975-07-17 00:00:00,Long Island-Brooklyn,USA,6-3,180.0,2.0,2,Guard,Inactive,Clippers,Undrafted,Undrafted,Undrafted,N
Dahntay Jones,1980-12-27 00:00:00,Duke,USA,6-6,225.0,14.0,30,Guard-Forward,Inactive,Grizzlies,2003,1,20,N
Damian Jones,1995-06-30 00:00:00,Vanderbilt,USA,6-11,245.0,6.0,15,Center,Active,Jazz,2016,1,30,N
Damon Jones,1976-08-25 00:00:00,Houston,USA,6-3,195.0,12.0,19,Guard,Inactive,Cavaliers,Undrafted,Undrafted,Undrafted,N
DeQuan Jones,1990-06-20 00:00:00,Miami,USA,6-8,221.0,2.0,20,Forward,Inactive,Magic,Undrafted,Undrafted,Undrafted,N
Dontae' Jones,1975-06-02 00:00:00,Mississippi State,USA,6-8,220.0,1.0,13,Forward,Inactive,Celtics,1996,1,21,N
Dwayne Jones,1983-06-09 00:00:00,St. Joseph's (PA),USA,6-11,248.0,7.0,27,Forward-Center,Inactive,Cavaliers,Undrafted,Undrafted,Undrafted,N
Eddie Jones,1971-10-20 00:00:00,Temple,USA,6-6,200.0,15.0,6,Guard-Forward,Inactive,Heat,1994,1,10,N
Edgar Jones,1956-06-17 00:00:00,Nevada-Reno,USA,6-10,225.0,6.0,44,Forward,Inactive,Spurs,1979,2,31,N
Fred Jones,1979-03-11 00:00:00,Oregon,USA,6-2,225.0,8.0,2,Guard,Inactive,Pacers,2002,1,14,N
Herbert Jones,1998-10-06 00:00:00,Alabama,USA,6-7,206.0,1.0,5,Forward,Active,Pelicans,2021,2,35,N
Jake Jones,1949-05-09 00:00:00,Assumption,USA,6-3,180.0,1.0,12,Guard,Inactive,Royals,1971,6,97,N
James Jones,1980-10-04 00:00:00,Miami,USA,6-8,218.0,15.0,1,Guard-Forward,Inactive,Heat,2003,2,49,N
Jimmy Jones,1945-01-01 00:00:00,Grambling,USA,6-4,188.0,3.0,15,Guard,Inactive,Bullets,1967,2,13,N
Johnny Jones,1943-03-12 00:00:00,California State-Los Angeles,USA,6-7,205.0,1.0,27,Forward,Inactive,Celtics,Undrafted,Undrafted,Undrafted,N
Kai Jones,2001-01-19 00:00:00,Texas,Bahamas,6-11,221.0,1.0,23,Center-Forward,Active,Hornets,2021,1,19,N
Nick Jones,1945-03-28 00:00:00,Oregon,USA,6-2,190.0,3.0,15,Guard,Inactive,Warriors,1967,3,31,N
Popeye Jones,1970-06-17 00:00:00,Murray State,USA,6-8,265.0,12.0,54,Forward,Inactive,Mavericks,1992,2,41,N
Rich Jones,1946-12-27 00:00:00,Memphis,USA,6-8,220.0,1.0,33,Forward,Inactive,Nets,1969,5,58,N
Sam Jones,1933-06-24 00:00:00,North Carolina Central,USA,6-4,198.0,12.0,24,Guard,Inactive,Celtics,1957,1,8,Y
Tyus Jones,1996-05-10 00:00:00,Duke,USA,6-2,196.0,7.0,21,Guard,Active,Grizzlies,2015,1,24,N
Wali Jones,1942-02-14 00:00:00,Villanova,USA,6-2,180.0,10.0,9,Guard,Inactive,76ers,1964,3,18,N
Willie Jones,1959-09-01 00:00:00,Vanderbilt,USA,6-8,190.0,2.0,22,Forward,Inactive,Clippers,1982,3,54,N
Derrick Jones Jr.,1997-02-15 00:00:00,UNLV,USA,6-6,210.0,6.0,5,Forward,Active,Bulls,Undrafted,Undrafted,Undrafted,N
Jerome Jordan,1986-09-29 00:00:00,Tulsa,Jamaica,7-0,253.0,3.0,9,Center,Inactive,Nets,2010,2,44,N
Michael Jordan,1963-02-17 00:00:00,North Carolina,USA,6-6,216.0,15.0,23,Guard,Inactive,Bulls,1984,1,3,Y
Walter Jordan,1956-02-19 00:00:00,Purdue,USA,6-7,198.0,1.0,40,Forward,Inactive,Cavaliers,1978,4,84,N
Johnny Jorgensen,1921-12-28 00:00:00,DePaul,USA,6-2,185.0,2.0,16,Guard,Inactive,Lakers,Undrafted,Undrafted,Undrafted,N
Noble Jorgensen,1925-05-18 00:00:00,Iowa,USA,6-9,228.0,5.0,6,Center,Inactive,Nationals,Undrafted,Undrafted,Undrafted,N
Cory Joseph,1991-08-20 00:00:00,Texas,Canada,6-3,200.0,11.0,18,Guard,Active,Pistons,2011,1,29,N
Yvon Joseph,1957-10-31 00:00:00,Georgia Tech,USA,6-11,245.0,1.0,40,Forward,Inactive,Nets,1985,2,36,N
Jeff Judkins,1956-03-23 00:00:00,Utah,USA,6-6,185.0,5.0,22,Guard,Inactive,Celtics,1978,2,30,N
Johnny Juzang,2001-03-17 00:00:00,UCLA,USA,6-6,209.0,0.0,33,Guard,Active,Jazz,Undrafted,Undrafted,Undrafted,N
Chris Kaman,1982-04-28 00:00:00,Central Michigan,USA,7-0,265.0,14.0,35,Center,Inactive,Clippers,2003,1,6,N
Frank Kaminsky,1993-04-04 00:00:00,Wisconsin,USA,7-0,240.0,7.0,0,Forward-Center,Active,Rockets,2015,1,9,N
Coby Karl,1983-06-08 00:00:00,Boise State,USA,6-5,215.0,3.0,22,Guard,Inactive,Lakers,Undrafted,Undrafted,Undrafted,N
George Karl,1951-05-12 00:00:00,North Carolina,USA,6-2,185.0,2.0,22,Guard,Inactive,Spurs,1973,4,66,N
Bob Kauffman,1946-07-13 00:00:00,Guilford,USA,6-8,240.0,7.0,44,Forward,Inactive,Braves,1968,1,3,N
Sasha Kaun,1985-05-08 00:00:00,Kansas,Russia,6-11,260.0,2.0,14,Center,Inactive,Cavaliers,2008,2,56,N
Clarence Kea,1959-02-02 00:00:00,Lamar,USA,6-6,218.0,2.0,53,Forward,Inactive,Mavericks,1980,8,169,N
Adam Keefe,1970-02-22 00:00:00,Stanford,USA,6-9,230.0,9.0,32,Forward,Inactive,Jazz,1992,1,10,N
Ryan Kelly,1991-04-09 00:00:00,Duke,USA,6-11,230.0,5.0,30,Forward,Inactive,Lakers,2013,2,48,N
Greg Kelser,1957-09-17 00:00:00,Michigan State,USA,6-7,190.0,6.0,11,Forward,Inactive,SuperSonics,1979,1,4,N
Ben Kelso,1949-04-11 00:00:00,Central Michigan,USA,6-3,195.0,1.0,5-30,Guard,Inactive,Pistons,1973,8,129,N
Luke Kennard,1996-06-24 00:00:00,Duke,USA,6-5,206.0,5.0,5,Guard,Active,Grizzlies,2017,1,12,N
